"","x"
"471",49.4
"472",48.8
"473",48.5
"474",48.9
"475",51.9
"476",52.4
"477",51.2
"478",48.6
"479",49.6
"480",52.3
