OBJECTID,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29
73,0.878372076,41.0941645,109.9186924,167.6024061,199.5283952,209.3079254,201.8570796,181.4240586,151.4786351,114.8875346,74.08010913,46.96663632,47.68638746,48.12463338,48.30113936,48.22370621,47.88892302,47.28183934,46.37450501,45.12314744,43.4635388,41.30383683,38.51392733,34.91048581,30.23964593,24.17361651,16.40818173,7.830279037,0.907762749,0.00145807
74,0.000879331,0.049284611,0.145439582,0.244207778,0.323824867,0.385721833,0.433635788,0.470811329,0.499677784,0.521985718,0.538982049,0.551547275,0.56029141,0.565617805,0.567763511,0.566822157,0.562752799,0.555376063,0.54435701,0.529172135,0.509055558,0.482916745,0.449220172,0.405822326,0.349800095,0.277494273,0.185869581,0.086480745,0.009312326,1.23936E-05
75,0.055021938,13.6623645,60.95444175,124.3254484,181.0681478,224.2825042,252.5126023,266.2426602,266.6588734,255.2198642,233.5079409,203.1781032,165.939991,123.5495279,77.80218625,41.03735322,40.6373551,39.91490825,38.84216611,37.37663171,35.45833225,33.00628751,29.91523822,26.05609447,21.29136257,15.54138847,9.013314843,3.185346014,0.153958657,2.66223E-05
76,0.07686971,4.106446125,11.96282954,19.96306317,26.38254607,31.35992441,35.20623663,38.18699446,40.49957679,42.28563928,43.64582066,44.65106015,45.35044435,45.77640273,45.94798391,90.73173886,144.4736422,194.6359306,239.3452825,276.708202,304.7919708,321.5902234,324.9696014,312.6026826,281.9327437,230.3863777,156.7847111,73.29542605,7.944786109,0.011053032
77,0.033551432,9.421914998,45.11918159,97.37979266,148.9861529,193.1463824,227.2488387,250.4590231,262.7598867,264.5690196,256.578999,239.6863812,214.9568542,183.6053443,146.9823857,106.5633631,63.93964529,40.20533654,39.11329019,37.62191093,35.67073943,33.17834358,30.03929476,26.12518664,21.30135544,15.49596171,8.934297695,3.122184742,0.146052788,2.32373E-05
78,0.090248637,4.608265356,13.26274654,22.00401786,28.98790498,34.38927516,38.55646511,41.78230396,44.28304757,46.21331702,47.68269668,48.76830399,49.52343916,49.98328764,50.16850641,50.0872501,74.07290622,125.7675379,174.3099848,217.6763406,253.7081706,280.0620694,294.1293381,292.9231625,272.966284,230.3816,162.1689409,78.77016432,9.02896145,0.013693609
79,0.743090827,41.57280285,122.8590938,204.1842045,264.2548208,302.4806166,321.2516945,323.2446669,310.9283124,286.5453553,252.1777635,209.8081048,161.3619317,108.732842,53.7947925,46.4729841,46.14146989,45.54047772,44.64264597,43.40519227,41.76549068,39.63429473,36.88579062,33.34402919,28.76834172,22.85558481,15.34829556,7.176243998,0.783841426,0.001081788
80,1.21831E-05,0.000654488,0.001909516,0.003188818,0.004215894,0.005012491,0.005628193,0.006105406,0.006475682,0.006761675,0.006979486,0.007140464,0.007252467,0.007320682,0.007348161,0.007336106,0.007283991,0.007189509,0.007048352,0.006853779,0.006595923,0.006260713,0.005828296,0.005270879,0.004550368,0.003618593,0.002434036,0.001141663,0.000125855,1.77819E-07
81,0.00353183,0.169386708,0.479357976,0.788905587,1.034742537,1.224210427,32.70523454,12.60117058,1.570076233,1.637401271,1.688620997,1.726446966,1.752750318,1.768764917,1.775214648,1.772385169,1.760151578,1.737966365,1.704805745,1.659065839,1.598392107,1.519415309,1.417357324,1.285475695,1.114410013,0.892013855,0.606823635,0.29082727,0.034137823,5.65996E-05
82,0.050233536,4.839012163,24.13820298,56.21682101,93.54972844,131.5434523,167.2728725,198.8131416,224.8648253,244.556679,257.3403167,262.9321202,261.2799689,252.5433975,237.0813589,215.4447482,188.3726118,156.7922051,121.8241637,84.79528173,47.26297211,40.4231703,37.43820296,33.61395277,28.71418551,22.46158317,14.68434239,6.522923571,0.613716322,0.000579137
